#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,     0.16, 3,   boost,   85.16,  99122.00,  185.02,   53.75,   78.16, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.17, 3,   boost,   85.67,  99110.00,  186.04,   54.77,   79.03, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.18, 3,   boost,   86.07,  99097.00,  187.14,   55.87,   79.90, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.19, 3,   boost,   86.38,  99088.00,  187.90,   56.63,   80.77, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.20, 3,   boost,   86.60,  99077.00,  188.83,   57.57,   81.64, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.21, 3,   boost,   86.74,  99063.00,  190.02,   58.75,   82.52, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.22, 3,   boost,   86.81,  99043.00,  191.71,   60.45,   83.39, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.23, 3,   boost,   86.82,  99043.00,  191.71,   60.45,   84.28, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.24, 3,   boost,   86.78,  99025.00,  193.24,   61.98,   85.16, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.25, 3,   boost,   86.70,  99001.00,  195.28,   64.01,   86.05, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.26, 3,   boost,   86.58,  98984.00,  196.72,   65.45,   86.95, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.27, 3,   boost,   86.43,  98972.00,  197.74,   66.47,   87.84, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.28, 3,   boost,   86.27,  98959.00,  198.84,   67.57,   88.74, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.29, 3,   boost,   86.10,  98945.00,  200.03,   68.76,   89.64, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.30, 3,   boost,   85.92,  98936.00,  200.79,   69.53,   90.54, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.31, 3,   boost,   85.74,  98915.00,  202.57,   71.31,   91.43, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.32, 3,   boost,   85.56,  98900.00,  203.85,   72.58,   92.33, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.33, 3,   boost,   85.38,  98887.00,  204.95,   73.69,   93.23, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.34, 3,   boost,   85.21,  98887.00,  204.95,   73.69,   94.12, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.35, 3,   boost,   85.04,  98855.00,  207.67,   76.40,   95.02, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.36, 3,   boost,   84.88,  98803.00,  212.08,   80.82,   95.91, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.37, 3,   boost,   84.69,  98775.00,  214.46,   83.20,   96.80, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.38, 3,   boost,   84.48,  98749.00,  216.67,   85.41,   97.69, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.39, 3,   boost,   84.24,  98732.00,  218.12,   86.85,   98.58, 23.7, 0.00, 0.00, 4.00
